legal_entity_customer_number,banding,credit_risk_rating_description,exist_days,prod_mix_m1,prod_mix_m2,prod_mix_m3,prod_mix_m4,prod_mix_m5,prod_mix_m6,prod_mix_m7,prod_mix_m8,prod_mix_m9,sites_visited_m1,sites_visited_m2,sites_visited_m3,sites_visited_m4,sites_visited_m5,sites_visited_m6,sites_visited_m7,sites_visited_m8,sites_visited_m9,volume_m1,volume_m2,volume_m3,volume_m4,volume_m5,volume_m6,volume_m7,volume_m8,volume_m9,churn_label
26,B,B - Medium,6504,8,7,6,6,5,5,6,7,9,16,12,10,15,8,9,13,15,18,5278,8504.25,7870.76,2162.49,3030.3,2851.23,3211.05,4810.17,7196.44,0
27,C,C - High Risk,6504,2,2,2,2,4,2,1,1,2,4,3,3,4,4,4,3,3,3,2971.1,2940.38,2741.44,2249.81,1802.82,2853.31,2689.23,2641.2,2865.08,0
28,B,B - Medium,6492,13,10,9,9,10,8,10,10,10,31,35,21,18,17,22,20,18,27,6359.19,6003.28,3642.62,2439.6,2230.88,3486.58,3341.39,1999.48,6104.66,0
29,C,B - Medium,6467,8,11,7,7,0,7,8,6,8,18,21,16,12,0,11,10,9,13,7589.43,2174.89,1507.36,575.63,0,261.31,706.94,665.58,609.49,0
30,D,C - High Risk,6457,7,5,5,4,6,4,5,6,7,10,18,9,4,5,9,8,10,13,769.25,986.48,390.67,159.24,293.5,452.69,431.55,518.81,743.49,0
31,D,B - Medium,6446,3,3,4,3,3,4,3,3,4,6,8,7,4,6,6,9,4,8,1128.92,1086.16,785.92,226.72,495.35,466.43,952.81,371.84,774.48,0
32,D,B - Medium,6425,4,4,4,5,4,4,4,4,0,3,3,4,4,3,2,2,2,0,275.59,358.82,361.71,236.64,170.99,45.37,83.32,37.25,0,0
33,B,B - Medium,6422,6,7,7,5,7,7,7,6,8,10,14,8,6,11,11,13,10,14,5863.7,5672.6,5384.12,4982.74,5393.74,5763.05,6412.75,5685.42,6007.41,0
34,A,B - Medium,6430,9,8,9,6,7,7,9,10,12,24,22,19,16,21,19,21,21,27,3029.56,4700.82,4049.25,2188.87,3049.06,1817.82,2152.8,3733.62,4430.71,0
35,B,B - Medium,6416,8,10,7,7,7,7,6,5,7,11,17,14,7,7,5,4,3,4,2738.28,5523.65,4833.34,1888.17,1745.92,971.2,631.94,345.48,679.32,0
36,D,B - Medium,6398,4,0,1,0,4,1,1,3,3,3,0,1,0,3,1,2,2,3,108.24,0,9.72,0,9.56,9.84,91.45,32.78,205.04,0
37,C,B - Medium,6383,4,6,7,5,4,5,5,5,5,3,3,3,2,3,4,3,3,3,602.24,537.42,466.34,346.09,469.03,531.36,540.2,446.68,530.1,0
38,D,C - High Risk,6379,8,8,8,5,6,7,9,8,7,17,20,13,3,15,15,17,17,19,971.73,1449.03,857.35,345.27,809.43,907.64,980.9,942.34,1012.54,0
39,D,C - High Risk,6382,5,6,5,6,4,5,4,4,5,2,2,2,2,2,2,2,2,2,236.43,258.33,269.12,251.69,258.05,230.12,254.02,200.18,212.05,0
40,B,B - Medium,6354,6,5,5,4,6,7,6,5,5,7,7,7,7,7,7,6,6,6,13498.93,13179.2,13364.98,11606.76,11217.49,13613.71,12338.06,12725.91,12789.18,0
41,B,C - High Risk,6357,6,7,6,7,7,6,7,6,7,4,4,4,4,4,3,3,3,4,226.59,428.64,135.06,131.38,130.95,624.41,394.09,31.96,159.78,0
42,C,C - High Risk,6355,9,7,7,6,5,5,9,5,5,16,8,8,10,6,5,12,10,7,1005.45,376.6,276.26,413.37,335.47,342.3,730.84,917.4,388.95,0
43,D,C - High Risk,6330,8,4,3,7,2,6,7,6,6,3,6,4,4,2,4,5,4,8,458.97,340.61,346.21,339.39,65.41,341.2,448.63,357.77,399.74,0
44,B,C - High Risk,6317,3,3,3,2,4,4,1,3,3,5,7,6,4,6,6,4,7,5,478.97,699.58,644.75,352.39,738.08,629.01,401.19,620.07,698.81,0
45,C,C - High Risk,6316,5,5,6,7,6,6,5,6,5,4,5,4,4,5,5,3,3,3,200.32,808.7,398.29,224.57,391.32,279.95,212.21,41.6,41.18,0
46,D,C - High Risk,6282,7,6,5,4,5,5,5,6,5,13,12,7,5,6,7,7,8,9,1227.15,1540.23,799.03,387.52,528.16,667.81,620.84,859.23,871.57,0
47,B,C - High Risk,6290,10,11,9,7,6,8,9,10,8,25,29,32,18,16,19,27,25,21,24584.61,25589.7,22244.54,3927.6,2643.34,1467.79,5815.59,5692.19,3267.52,0
48,D,B - Medium,6286,8,7,7,8,7,8,9,8,7,8,8,10,9,10,8,9,9,8,576.53,604.04,1597.88,1615.75,1336.89,1120.88,1938.04,1433.35,926.64,0
49,B,C - High Risk,6220,9,9,7,6,6,8,7,8,9,31,37,33,25,27,30,25,23,27,8522.37,12108.74,12180.88,15020.6,16324.74,19170.44,14940.99,14642.78,21250.66,0
50,D,C - High Risk,6231,8,9,10,9,8,10,11,9,12,11,9,8,6,8,10,10,8,8,862.34,827.32,928.61,710.03,841.04,1041.3,1334.5,889.97,1105.57,0
51,B,C - High Risk,3744,8,10,11,9,9,9,10,10,11,11,12,11,9,10,9,11,8,12,1114.04,1266.57,1167.21,547.87,379.01,908.16,1424.59,974.09,1776.85,0
52,C,B - Medium,3738,5,5,6,6,5,6,7,7,7,21,20,20,15,15,19,21,19,20,25559.52,18487.46,14574.68,14875.6,9401.35,15325.82,13396.15,5467.5,8278.15,0
53,B,B - Medium,3742,10,10,9,7,7,7,9,7,7,3,3,3,1,2,3,3,3,3,507.17,643.88,679.34,133.35,236.92,994.41,1234.53,1180.11,1408.77,0
54,B,B - Medium,3742,7,13,8,9,11,10,10,9,9,12,19,16,17,18,16,19,10,15,4519.53,5322.34,6092.18,8827.81,1787.61,860.05,644.38,130.56,1351.64,0
55,B,C - High Risk,3740,7,9,7,7,7,9,0,8,9,13,18,13,13,12,9,0,11,14,757.69,976.65,256.51,248.42,747.39,306.49,0,1759.22,2008.86,0
56,D,B - Medium,3742,5,4,5,4,4,4,3,3,6,7,7,8,6,8,7,5,5,9,335.19,657.96,538.16,443.19,824.06,833.84,930.95,502.5,1190.53,0
57,B,B - Medium,3756,5,5,5,5,5,5,6,6,5,3,3,3,2,2,3,3,3,3,1275.89,2139.9,2183.15,2563.71,2605.26,3025.01,2555.65,2885.73,2566.8,0
58,D,C - High Risk,3738,0,5,5,0,5,5,4,4,5,0,1,1,0,1,1,1,1,1,0,8.27,10.51,0,2.34,32.11,9.14,15.72,25.36,0
59,C,C - High Risk,3745,9,8,11,7,7,10,7,7,9,4,3,4,4,3,4,3,3,3,1139.35,835.74,1558.96,1434.6,492.79,1652.02,891.26,640.86,1216.95,0
60,B,C - High Risk,3738,12,19,12,4,6,8,9,10,12,7,8,6,3,4,5,8,7,8,316.46,360.34,170.68,119.06,437.49,379.44,583.81,702.92,745.95,0
61,C,B - Medium,3746,7,9,6,7,7,7,8,7,7,8,8,9,8,8,9,8,9,9,61.37,110.16,62.1,213.11,26.36,129.96,107.2,170.62,38.53,0
62,B,C - High Risk,3753,9,7,8,6,7,8,8,7,7,12,15,15,7,9,10,11,10,9,5089.18,4964.51,4172.09,644.07,1702.15,1998.13,2478.51,1261.51,2337.32,0
63,B,C - High Risk,3751,7,9,9,9,8,9,10,10,11,11,9,13,12,10,11,8,10,13,1712.06,1209.86,4149.87,1718.4,1232.57,2547.89,659.72,923.35,2945.69,0
64,D,C - High Risk,3747,10,7,6,7,7,8,6,6,6,8,10,9,8,13,9,10,9,9,172.26,418.91,231.27,452.48,452.24,322.46,646.67,271.58,289.76,0
65,D,C - High Risk,3744,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,199.46,273.21,234.52,189.98,211.33,225.28,214.56,221.87,212.11,0
66,A,B - Medium,3755,10,9,8,8,9,8,8,12,9,4,3,3,3,3,3,4,4,4,5307,5743.05,4928.32,4137.31,4633.69,4056.85,5012.34,4854.91,4871.71,0
67,C,B - Medium,3739,5,4,5,3,4,0,7,6,5,2,2,2,1,1,0,5,4,3,323.21,374.44,113.71,40.21,42.23,0,1392.95,2037.92,538.9,0
68,D,C - High Risk,3749,4,3,4,3,4,4,3,5,5,16,12,15,6,11,9,14,19,19,1433.54,1829.95,2088.8,137.43,634.13,510.63,1606.99,3639.51,2974.78,0
69,D,C - High Risk,3754,7,7,7,0,7,8,10,6,8,4,4,5,0,5,5,6,3,5,334.75,64.92,448.19,0,245.57,523.78,925.55,62.05,212.78,0
70,B,B - Medium,3746,6,7,8,0,6,6,6,7,8,6,9,9,0,5,8,5,6,7,3245.82,2575.65,2387.31,0,2817.49,4732.01,3986.27,1934.14,3878.11,0
71,B,C - High Risk,3745,9,10,8,8,8,8,7,8,8,6,7,4,6,5,6,5,5,5,3172.68,3633.67,3479.57,3144.26,3164.36,2191.16,3391.94,2771.52,3146.26,0
72,D,B - Medium,3743,5,5,6,4,4,4,4,5,4,9,7,8,6,6,7,8,8,11,1509.07,301.67,1064.67,433.52,621.91,289.31,650.81,116.43,757.57,0
73,D,B - Medium,3741,3,4,4,3,3,4,3,4,5,2,2,2,2,2,3,3,2,3,46.57,19.18,620.11,1922.28,2161.68,2091.96,2588.88,2170.77,2382.4,0
74,D,C - High Risk,3742,8,8,7,6,6,9,8,6,9,9,10,9,8,9,9,9,8,8,1734.23,1368.82,1531.33,1950.67,804.4,1792.8,1817.35,1533.17,2542.06,0
75,D,C - High Risk,3746,7,6,7,5,7,6,6,6,5,4,4,5,3,4,4,4,4,4,46.63,31.14,104.55,79.22,62.76,139.11,73.17,70.89,62.55,0
76,A,B - Medium,6185,9,11,11,9,11,11,13,12,12,197,202,195,167,185,202,194,204,202,270310.38,285801.61,292118.98,222457.19,241259.77,279653.66,293085.72,281677.17,318529.6,0
77,D,B - Medium,6188,2,1,2,0,2,0,1,2,1,4,1,4,0,1,0,1,6,1,132.49,29.22,98.73,0,31.78,0,39.74,186.68,41.01,0
78,C,C - High Risk,6175,4,5,4,5,4,6,5,5,5,3,2,1,3,2,1,2,2,1,3285.06,2589.52,2673.6,3229.02,3298.87,3965.44,-4412.97,3553.92,4699.76,1
79,B,C - High Risk,6176,5,5,4,4,3,3,4,4,3,2,2,2,1,2,2,2,2,2,249.83,243.94,261.51,166.04,160.63,190.12,229.76,217.28,251.35,0
80,D,C - High Risk,6172,11,10,8,5,8,9,9,7,11,9,8,5,1,2,5,6,5,6,585.81,534.23,287.02,32.27,84.43,312.71,264.45,244.73,391.49,0
81,D,A - Low Risk,6169,3,4,4,1,2,5,3,2,5,3,5,5,1,2,5,6,3,3,156.37,227.7,170.24,22.84,147.97,230.23,236.58,193.21,112.53,0
82,D,B - Medium,6163,5,4,6,3,0,5,6,6,6,2,2,2,1,0,2,2,3,4,166.21,268.6,508.3,42.56,0,229.37,252.83,423.11,1423.41,0
83,B,C - High Risk,6172,6,8,8,7,9,9,8,9,8,8,9,7,5,8,11,9,9,10,7362.67,10237.57,6264.35,302.55,2581.07,8132.89,7522.85,7084.57,8484.6,0
84,D,C - High Risk,6123,12,7,6,7,8,11,9,10,10,11,6,4,3,4,8,9,9,7,1400.09,1082.12,774.2,481.69,915.88,1408.65,1160.55,1063.78,1165.42,0
85,D,B - Medium,6128,2,4,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,90.58,69.16,21.47,11.39,11,29,8.76,20.89,21.24,0
86,D,C - High Risk,6104,4,5,4,1,3,5,4,2,3,13,9,8,1,5,10,10,8,3,541.67,317.18,300.43,49.4,180.69,312.96,488.83,348.27,34.87,0
87,C,C - High Risk,6091,8,7,5,5,8,6,7,5,7,8,7,6,1,6,7,7,5,6,1500.67,1316.81,1087.18,33.93,998.49,1369.15,1321.62,634.16,1181.88,0
88,B,C - High Risk,6079,15,11,9,8,11,12,11,9,11,48,51,49,38,43,47,43,42,38,16036.67,15876.81,16609.48,12968.87,14668.78,14886.5,16621.76,13945.99,15595.37,0
89,D,C - High Risk,6041,3,4,2,3,1,2,1,3,4,2,3,2,1,1,2,1,2,2,331.78,303.38,227.68,52.99,1.85,283.71,201.21,104.81,248.65,0
90,C,C - High Risk,6050,12,11,12,10,9,12,11,10,11,16,20,15,11,13,17,21,12,12,2385.38,2969.67,2185.59,1900.62,2517.16,2090.99,2405.98,1601.4,2334.59,0
91,D,D - No Unsecured credit,6054,3,3,4,3,6,4,4,5,5,2,2,2,2,2,2,2,2,3,275.71,287.22,186.8,206.33,226.99,233.68,329.86,188.82,294.46,0
92,D,C - High Risk,6051,1,3,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,169.59,309.2,46.88,232.98,50.48,293.53,237.52,62.49,71.91,0
93,C,B - Medium,6024,7,7,7,6,8,7,7,8,8,6,5,5,4,5,6,6,5,6,927.15,769.71,664.15,416.3,708.53,731.5,723.43,794.83,897.42,0
94,A,B - Medium,6022,11,14,12,14,13,11,11,12,11,12,10,11,10,14,12,17,11,11,25037.29,27968.03,25224.7,16954.7,22050.42,24809.24,27354.71,22249.16,23454.07,0
95,A,B - Medium,6033,16,17,16,14,16,17,15,14,12,21,20,20,15,23,24,19,19,18,28197.02,39001.02,35312.51,25594.43,37142.5,36085.85,36145.49,32515.05,34628.2,0
96,C,C - High Risk,6029,7,6,4,5,5,7,7,6,6,9,9,8,6,5,7,9,8,7,886.77,906.41,938.29,591.34,519.17,665.13,731.64,707.07,818.84,0
97,D,B - Medium,6016,8,6,8,5,5,8,7,6,8,6,5,6,3,5,5,6,6,7,146.16,109.81,454.59,96.19,177.12,224.92,319.99,286.77,321.23,0
98,B,B - Medium,6006,6,6,7,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,89.8,28.79,74.77,37.48,35.29,40.33,14.4,14.4,16.42,0
99,C,F - Other,6004,1,1,1,0,0,1,1,3,1,1,1,1,0,1,1,1,2,1,19.92,16.39,38.26,0,18.49,15.87,18.77,29.09,15.79,0
100,D,C - High Risk,6002,8,9,8,6,5,7,9,5,7,5,10,7,5,6,6,10,7,8,619.88,722.33,549.69,426.84,373.4,403.01,555.52,444.52,555.89,0
101,D,C - High Risk,5985,3,3,3,2,0,3,5,3,3,1,1,1,1,0,1,1,1,1,1.47,1.38,5.3,0.43,0,0.98,1.93,0.98,2.11,0
102,C,D - No Unsecured credit,5991,6,6,7,2,4,6,9,8,7,2,2,2,1,1,2,3,2,2,361.82,299.89,191.54,7.59,0,228.23,487.28,282.48,394.96,1
103,D,C - High Risk,5973,6,8,6,6,6,6,6,6,6,25,27,21,16,18,17,14,15,17,2647.42,2644.01,2272.8,1457.15,2387.46,2248.8,1976.77,1540.57,1870.7,0
104,C,B - Medium,5971,10,10,10,9,10,10,8,10,10,11,10,8,3,4,4,3,3,3,720.18,734.78,467.49,96.75,166.63,185.3,154.7,177.83,153.8,0
105,D,B - Medium,5962,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,25.8,44.66,5.21,8.24,9.57,8.7,18.81,41.58,8.16,0
106,A,B - Medium,5953,7,7,7,6,6,7,7,6,6,11,11,13,7,9,13,9,9,8,12969.11,13159.58,11391.38,5381.22,12681.12,12947.75,16200.67,10028.13,14782.29,0
107,B,B - Medium,5950,6,7,6,6,6,5,6,5,6,30,29,25,25,24,31,28,26,35,23994.57,26566.06,31639.4,15652.36,16432.97,19718.51,18889.24,19573.24,23206.45,0
108,D,B - Medium,5961,5,5,5,4,2,3,3,3,4,3,3,3,2,1,2,2,2,4,459.09,411.16,361.11,213.57,139.43,328.71,457.57,316.68,481.31,0
109,C,C - High Risk,5949,14,13,13,11,10,12,12,14,11,7,9,8,3,6,5,9,8,5,1403.07,1433.39,1279.99,619.7,1096.71,988.04,1280.44,1122.17,970.27,0
110,B,C - High Risk,5945,12,12,12,9,11,11,10,12,10,62,58,54,32,38,46,54,44,54,6493.49,6874.75,5634.22,3215.19,3764.31,5301.71,6402.01,5474.94,6418.42,0
111,B,C - High Risk,5950,9,7,9,7,8,0,8,9,8,9,10,9,7,10,0,10,7,8,86.36,548.44,430.35,593.16,532.89,0,74.67,69.23,322.02,0
112,B,B - Medium,5937,13,13,14,11,11,10,12,15,12,9,13,8,10,9,8,9,8,10,4719.12,7047.07,4613.41,4229.82,4558.56,3180,2365.78,1665.28,2436.8,0
113,C,C - High Risk,5942,12,11,10,9,10,10,11,11,11,4,5,6,0,7,5,5,4,5,472.15,673.17,-809.24,204.19,415.14,454.04,98.52,46.93,438.2,0
114,C,A - Low Risk,5948,3,2,3,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,574.04,654.77,473.72,282.11,374.93,544.21,719.27,641.81,753.55,0
115,D,B - Medium,5945,3,4,4,4,4,3,4,4,4,4,5,2,3,4,3,6,4,3,135.89,153.14,59.7,46.58,215.78,118.72,224.38,86.86,105.74,0
116,C,C - High Risk,5948,6,6,7,5,5,10,6,6,7,23,20,23,17,14,23,27,22,22,4399.69,5546.89,4954.28,2819.58,3561.07,6832.95,6854.27,5447.08,4308.86,0
117,D,C - High Risk,5938,5,4,3,3,3,3,4,5,5,7,5,4,4,4,4,4,5,5,269.73,107.46,128.91,33.8,43.01,15.35,204.42,58.97,125.86,0
118,C,C - High Risk,5931,11,12,11,8,11,11,13,10,11,60,53,46,28,39,43,50,48,57,5175.99,5056.1,4066.01,2057.43,3458.64,4078.15,5222.34,4514.69,4978.37,0
119,D,C - High Risk,5939,6,7,5,3,5,3,6,4,4,1,1,1,1,1,1,1,1,1,52.31,35.17,52.04,21.23,34.43,42.61,50.2,23.91,26.73,0
120,D,C - High Risk,5935,0,0,2,4,6,5,5,4,5,0,0,2,9,9,14,14,12,10,0,0,750.93,3228.55,4572.85,6396.96,4363.52,4009.52,3330.03,0
121,B,C - High Risk,5931,11,9,7,7,10,10,11,9,8,40,40,39,32,37,33,33,30,40,10205.92,16712.74,13862.64,10181.31,11431.9,11222.64,10858.85,9520.88,15022.22,0
122,C,B - Medium,5920,8,9,8,5,7,6,8,7,6,31,36,24,20,19,23,31,26,32,4279.93,4030.06,2798.91,1841.08,1996.87,2898.8,3510.8,2998,4465.6,0
123,B,C - High Risk,5934,7,7,8,6,6,7,6,7,6,7,6,6,5,4,5,6,7,4,3082.68,4980,4791.72,2997.42,3237.36,4129.26,4430.21,5014.73,4032.59,0
124,D,C - High Risk,5932,4,4,4,5,4,4,4,5,4,1,1,1,1,1,1,1,1,1,409.18,487.43,555.16,348.6,277.9,464.2,478.18,389.2,363.66,0
125,C,B - Medium,5922,7,5,6,0,4,5,4,6,4,13,9,12,0,7,13,7,10,9,607.67,480.54,646.27,0,366.11,769.6,480.58,528.74,353.51,0
126,B,B - Medium,5919,5,7,4,4,5,5,6,6,7,27,39,32,19,21,30,23,30,21,29467.59,43959.95,30673.85,20958.84,28322.18,28480.49,32764.41,31709.53,40118.19,0
127,A,A - Low Risk,5907,10,14,13,13,13,13,16,15,14,43,44,47,35,48,46,45,38,40,97184.76,106891.84,95295.05,58474.45,89884.2,100709.64,106678.18,75397.57,114265.77,0
128,B,C - High Risk,5907,8,7,8,7,8,9,7,8,9,22,16,20,11,12,14,16,14,19,19480.25,16898.44,16515.66,11167.53,12253.45,13016.13,14672.92,12998.6,15234.83,0
129,B,A - Low Risk,5895,12,13,11,9,9,11,12,11,14,24,23,21,11,20,21,19,18,21,2137.49,1892.29,1442.96,760.79,1313.6,1710.1,1525.24,1191.8,1455.92,0
130,D,C - High Risk,5910,1,1,3,4,4,3,4,2,3,4,1,4,3,4,3,10,5,4,194.15,37.45,190.8,191.16,217.31,298,401.6,166.63,267.62,0
131,C,C - High Risk,5901,4,6,5,5,5,4,5,4,5,4,3,4,4,4,3,3,4,6,2487.58,638.95,2831.61,990.99,2403.1,1415.71,2737.09,2551.72,2910.51,0
132,C,C - High Risk,5903,3,3,3,3,3,4,4,6,3,5,5,4,5,7,5,6,6,6,1004.78,1468.14,739.72,1060.34,1538.64,1184.92,1567.19,1307.57,1677.58,0
133,C,C - High Risk,5906,9,8,7,9,9,8,10,9,8,16,24,10,8,13,20,22,18,19,2112.74,3010.6,1814.21,1383.92,1954.25,2690.13,2418.56,1893.73,2280.05,0
134,C,B - Medium,5911,0,2,2,2,2,2,2,2,2,0,3,3,3,3,3,2,2,3,0,304.23,421.55,404.39,222.73,412.56,397.76,148.4,282.08,0
135,D,B - Medium,5891,8,7,9,7,7,7,6,7,7,26,21,21,15,19,23,18,23,26,5793.29,2442.88,2011.65,1549.06,1059.86,3805.03,2560.22,2606.03,5645.09,0
136,C,C - High Risk,5901,9,12,11,7,10,11,7,11,6,13,16,11,7,10,8,7,8,10,1173.07,1179.47,1191.17,473.16,859.86,587.78,1040.94,1273.93,4057.43,0
137,D,C - High Risk,5902,5,6,6,5,5,6,4,8,9,9,10,9,4,6,10,6,12,20,6575.18,8009.11,3251.27,399.04,227.54,834.37,467.24,896.9,1597.76,0
138,D,C - High Risk,5886,10,9,8,8,9,6,9,9,10,10,13,11,8,10,10,8,8,11,507.28,454.19,380.05,205.89,218.03,731.43,286.89,491.53,707.51,0
139,D,B - Medium,5870,4,3,3,3,4,4,5,4,5,8,7,7,5,8,10,8,7,11,1310.49,686.44,366.26,52.41,437.82,400.22,414.1,402.17,829.76,0
140,C,C - High Risk,5868,6,8,7,5,7,8,8,8,8,42,39,32,11,26,38,41,34,34,2479.01,2051.64,1666.21,387.35,1352.56,2192.39,2387.97,1824.79,2380.81,0
141,C,C - High Risk,5867,7,5,5,4,5,7,5,10,6,31,37,26,18,26,33,31,31,33,3332.38,4066.45,3043.62,2666.33,3249.12,3885.9,4358.33,3984.09,4080.83,0
142,B,C - High Risk,5862,5,3,3,4,3,3,4,3,5,1,1,1,1,1,1,1,1,1,288.84,275.54,299.05,260.33,244.03,279.1,304.68,282.93,292.86,0
143,C,B - Medium,5872,11,9,10,10,9,10,11,9,11,5,4,4,5,4,4,4,5,4,785.25,1034.44,658.6,547.53,577.84,461.71,343.24,420.19,478.23,0
144,D,C - High Risk,5869,6,6,5,2,5,4,6,5,7,2,2,1,1,1,1,1,1,1,178.35,93.75,48.97,7.34,33.84,25.58,53.34,38.02,42.27,0
145,D,B - Medium,5854,11,8,9,8,5,6,10,9,6,30,30,22,20,12,23,38,31,22,2567.85,2252.2,2290.95,1271.2,1311.56,2575.63,3710.28,3029.44,3153.75,0
146,B,D - No Unsecured credit,5862,0,6,8,7,7,6,6,7,8,0,12,15,17,14,12,19,15,15,0,1194.67,2156.69,2307.48,2568.21,3767.15,2902.62,7451.4,2819.72,0
147,D,C - High Risk,5846,8,6,5,6,6,9,8,9,8,11,9,8,8,6,12,11,9,7,819.65,989.97,516.9,504.93,489.29,815.19,898.51,586.04,475.71,0
